Longitude,Latitude,Counts,SumHeights,SumSquaredHeights,MeanHeight,StdevHeight
143.5,-32.5,4,5364,7193462,1341.0,9.192388155425117
144.5,-32.5,86,371469,2118443655,4319.406976744186,2444.5427231013173
145.5,-32.5,138,797503,4629811559,5779.007246376812,390.4284435241665
146.5,-32.5,116,480518,2431181936,4142.396551724138,1949.1064039146795
147.5,-32.5,144,282310,739814036,1960.486111111111,1137.5815049316925
148.5,-32.5,91,123360,286514408,1355.6043956043957,1144.9221373700568
150.5,-32.5,12,15130,22192032,1260.8333333333333,509.5442135433938
151.5,-32.5,62,112923,242483863,1821.3387096774193,770.5552238598412
152.5,-32.5,35,61047,132307395,1744.2,859.0562529394019
153.5,-32.5,58,35592,33817270,613.6551724137931,454.4047850541878
154.5,-32.5,51,49780,72851934,976.0784313725491,689.7392187826867
155.5,-31.5,71,35557,28723617,500.80281690140845,392.11544792204666
155.5,-32.5,38,31935,35499197,840.3947368421053,477.4160460488636
156.5,-31.5,149,459825,1580271123,3086.0738255033557,1040.1897935618922
157.5,-31.5,149,250456,608003496,1680.9127516778524,1120.3091970905696
158.5,-31.5,184,257256,460305908,1398.1304347826087,739.5227047311355
159.5,-31.5,243,369748,673140530,1521.59670781893,674.4398391366539
160.5,-31.5,246,661489,1998904751,2688.979674796748,946.0535807424794
161.5,-31.5,241,1019750,5423014274,4231.327800829876,2144.2945131060374
162.5,-30.5,144,500872,2071916898,3478.277777777778,1513.2400643268568
162.5,-31.5,84,383005,2043489353,4559.583333333333,1880.81206630802
163.5,-30.5,211,881586,5931563462,4178.132701421801,3264.1817205335265
164.5,-30.5,190,652990,3031220968,3436.7894736842104,2035.257399444714
165.5,-30.5,200,565792,1963292146,2828.96,1346.6425095028007
166.5,-30.5,226,1457339,9927046489,6448.402654867256,1530.714756348382
167.5,-29.5,72,614967,5414405411,8541.208333333334,1499.2782794981674
167.5,-30.5,124,992796,8513280540,8006.419354838709,2133.7144467502085
168.5,-29.5,172,1204224,8972097426,7001.302325581395,1773.4494280118413
169.5,-29.5,244,2247851,20741882113,9212.504098360656,370.78540364606215
170.5,-29.5,258,1723183,12631487927,6679.003875968992,2085.70437881281
171.5,-28.5,8,77966,760213196,9745.75,216.80968036506118
171.5,-29.5,215,1575886,13163617688,7329.702325581396,2738.9035396965023
172.5,-28.5,193,1509571,12081883233,7821.611398963731,1192.8228630722956
173.5,-28.5,197,1270488,8371947294,6449.177664974619,951.4735053480597
174.5,-28.5,218,1704885,13690558849,7820.573394495413,1280.3751194271583
175.5,-28.5,126,1072779,9199363991,8514.119047619048,721.5276629259208
